f1,Mean,2.87E04
 ,SD,9.66E02
f2,Mean,2.56E08
 ,SD,4.14E07
f3,Mean,6.62E12
 ,SD,5.96E12
f4,Mean,5.65E04
 ,SD,3.52E03
f5,Mean,7.25E03
 ,SD,1.13E03
f6,Mean,3.42E03
 ,SD,5.89E02
f7,Mean,1.95E03
 ,SD,2.02E03
f8,Mean,2.09E01
 ,SD,5.18E-02
f9,Mean,3.90E01
 ,SD,1.14E00
f10,Mean,3.68E03
 ,SD,3.11E02
f11,Mean,5.81E02
 ,SD,4.27E01
f12,Mean,5.33E02
 ,SD,2.03E01
f13,Mean,5.38E02
 ,SD,3.93E01
f14,Mean,7.24E03
 ,SD,2.20E02
f15,Mean,7.40E03
 ,SD,2.01E02
f16,Mean,2.47E00
 ,SD,1.47E-01
f17,Mean,7.12E02
 ,SD,3.86E01
f18,Mean,7.41E02
 ,SD,7.09E01
f19,Mean,7.46E04
 ,SD,2.41E04
f20,Mean,1.28E01
 ,SD,1.01E-01
f21,Mean,2.35E03
 ,SD,5.90E01
f22,Mean,7.76E03
 ,SD,3.33E02
f23,Mean,8.12E03
 ,SD,1.70E02
f24,Mean,3.52E02
 ,SD,5.83E00
f25,Mean,3.67E02
 ,SD,4.82E00
f26,Mean,2.38E02
 ,SD,7.74E00
f27,Mean,1.37E03
 ,SD,2.51E01
f28,Mean,4.72E03
 ,SD,7.86E01
