Problem,Opt,Best Result,Average Result
D198,15780,16633.8,17080.1
EIL101,629,659.4,676.1
EIL51,426,432.4,441.4
EIL76,538,549.2,561.2
KROA100,21282,22103.7,22760.1
KROA150,26524,28657.8,29100.1
KROB150,26130,27512.8,28277.3
KROC100,20749,20924.4,21520.9
KROD100,21294,21964.3,22746.3
KROE100,22068,22435.7,23116.1
LIN105,14379,14652.2,15038.2
PR107,44303,46082.7,46648
PR124,59030,60408.4,61393.7
PR144,58537,59336.8,59931
PR152,73682,75721,79086.9
PR76,108159,113574.7,114671.1
RAT99,1211,1261.4,1279.9
RD100,7910,8224.4,8293.3
ST70,675,703,719.7
U159,42080,43676.3,45336.2
